x, y
-60.66202090592334, 44.792843691148775
-67.45644599303137, 45.91337099811676
-54.390243902439025, 44.06779661016949
-51.951219512195124, 43.54048964218455
-36.27177700348432, 44.85875706214689
-32.26480836236934, 40.969868173258
-22.857142857142854, 39.453860640301315
-14.843205574912886, 38.53107344632768
-15.01742160278745, 37.015065913371
-11.01045296167247, 35.63088512241055
-8.048780487804876, 35.367231638418076
-7.1777003484320545, 34.24670433145009
-5.78397212543554, 33.32391713747646
-2.4738675958188168, 32.994350282485875
-2.2996515679442524, 31.939736346516007
1.184668989547049, 30.753295668549903
2.055749128919871, 30.357815442561204
1.8815331010453065, 29.83050847457627
1.5331010452961777, 28.973634651600754
3.2752613240418214, 28.578154425612052
6.585365853658544, 27.721280602636533
5.888501742160287, 26.732580037664782
12.857142857142861, 26.0075329566855
13.20557491289199, 23.041431261770242
35.50522648083624, 18.625235404896422
36.89895470383276, 18.757062146892654
72.9616724738676, 17.570621468926554
76.9686411149826, 16.64783427495292
105.54006968641116, 15.725047080979284
-7.351916376306619, 35.89453860640301
-3.8675958188153317, 36.6195856873823